### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| LEVERUSDT     | 0.001432      | 0.001287    | 0.1256       | 0.05682         | 29.97         | 0.01653      | 0.01399     | 0.06925                 | 0.0489         | 163.49  | 1297211.49857 |
| LRCUSDT       | 0.001426      | 0.002212    | 0.1138       | 0.04625         | 68.37         | 0.01829      | 0.02085     | 0.1383                  | 0.05624        | 1056.7  | 1297211.49857 |
| GRTUSDT       | 0.001413      | 0.002996    | 0.102        | 0.04792         | 59.53         | 0.01304      | 0.02131     | 0.1434                  | 0.05727        | 994.71  | 1297211.49859 |
| STGUSDT       | 0.001411      | 0.001343    | 0.1132       | 0.03635         | 71.63         | 0.01589      | 0.01703     | 0.1035                  | 0.02524        | 380.5   | 1297211.49859 |
| STMXUSDT      | 0.001402      | 0.001351    | 0.1179       | 0.07333         | 42.58         | 0.01917      | 0.02392     | 0.144                   | 0.04488        | 901.71  | 1297211.4986  |
| ACHUSDT       | 0.001386      | 0.001082    | 0.08615      | 0.03739         | 57.75         | 0.01511      | 0.01475     | 0.08787                 | 0.03742        | 199.39  | 1297211.49861 |
| MATICUSDT     | 0.001391      | 0.002414    | 0.08492      | 0.05204         | 66.38         | 0.01589      | 0.02236     | 0.1479                  | 0.01975        | 1053.71 | 1297211.49861 |
| TUSDT         | 0.001395      | 0.0008671   | 0.1458       | 0.05612         | 41.75         | 0.01975      | 0.02417     | 0.1461                  | 0.08032        | 220.46  | 1297211.49861 |
| BNXUSDT       | 0.001379      | 0.001744    | 0.1355       | 0.06288         | 56.58         | 0.01655      | 0.01546     | 0.08155                 | 0.0351         | 199.38  | 1297211.49862 |
| XVSUSDT       | 0.001371      | 0.001147    | 0.1457       | 0.08169         | 29.68         | 0.01616      | 0.02183     | 0.132                   | 0.05622        | 149.89  | 1297211.49863 |
| INJUSDT       | 0.001374      | 0.001493    | 0.1235       | 0.07756         | 81.72         | 0.01656      | 0.01946     | 0.105                   | 0.06891        | 388.88  | 1297211.49863 |
| COMPUSDT      | 0.001369      | 0.001708    | 0.07043      | 0.0202          | 47.07         | 0.01629      | 0.01797     | 0.1204                  | 0.03432        | 1167.62 | 1297211.49863 |
| HOTUSDT       | 0.001362      | 0.002558    | 0.1398       | 0.09408         | 50.93         | 0.01295      | 0.0251      | 0.1499                  | 0.05555        | 893.71  | 1297211.49864 |
| 1000SHIBUSDT  | 0.001358      | 0.002724    | 0.1005       | 0.05944         | 78.52         | 0.00988      | 0.01874     | 0.1201                  | 0.03339        | 852.26  | 1297211.49864 |
| FETUSDT       | 0.00135       | 0.001231    | 0.1286       | 0.0671          | 41.32         | 0.01668      | 0.01512     | 0.08542                 | 0.0399         | 235.89  | 1297211.49865 |
| SFPUSDT       | 0.001353      | 0.001425    | 0.09106      | 0.03301         | 55.82         | 0.01672      | 0.01894     | 0.116                   | 0.01876        | 927.71  | 1297211.49865 |
| DOTUSDT       | 0.00135       | 0.002297    | 0.1073       | 0.05999         | 57.43         | 0.01137      | 0.01523     | 0.09342                 | 0.01161        | 1114.71 | 1297211.49865 |
| OMGUSDT       | 0.001324      | 0.0022      | 0.1334       | 0.09154         | 62.72         | 0.01793      | 0.02832     | 0.1492                  | 0.09594        | 1165.62 | 1297211.49868 |
| TRXUSDT       | 0.001312      | 0.001254    | 0.1392       | 0.05026         | 52.18         | 0.01339      | 0.02027     | 0.1485                  | 0.03538        | 1334.66 | 1297211.49869 |
