### single symbol backtest metrics ###

update: 2023-12-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
| LRCUSDT       | 0.0009145     | 0.001727    | 0.0489       | 0.02035         | 0.01109      | 0.01087     | 129.2         | 0.08781                 | 0.03437        | 0.09871                  | 0.202        | 1136.67 | 276499999.999 |
| OMGUSDT       | 0.001335      | 0.002146    | 0.06594      | 0.027           | 0.01332      | 0.0132      | 137.5         | 0.07579                 | 0.02242        | 0.07257                  | 0.2065       | 1245.58 | 276499999.999 |
| IDEXUSDT      | 0.001054      | 0.001021    | 0.07851      | 0.0545          | 0.01227      | 0.01126     | 79.93         | 0.08628                 | 0.03682        | 0.07992                  | 0.1073       | 210.46  | 276499999.999 |
| ACHUSDT       | 0.0009748     | 0.0009191   | 0.06015      | 0.03636         | 0.01662      | 0.01384     | 118.6         | 0.09851                 | 0.08473        | 0.09903                  | 0.1315       | 280.38  | 276499999.999 |
| QNTUSDT       | 0.0008375     | 0.0009656   | 0.08119      | 0.05372         | 0.008607     | 0.009546    | 82.93         | 0.06718                 | 0.1556         | 0.07833                  | 0.09505      | 405.88  | 276499999.999 |
| AXSUSDT       | 0.0006519     | 0.002013    | 0.04952      | 0.0288          | 0.01706      | 0.01824     | 138.1         | 0.05228                 | 0.1301         | 0.02846                  | 0.1105       | 1104.67 | 276499999.999 |
| UMAUSDT       | 0.001422      | 0.0007726   | 0.04189      | 0.01322         | 0.01017      | 0.009425    | 126.5         | 0.05519                 | 0.02211        | 0.04401                  | 0.1211       | 203.46  | 276499999.999 |
| QTUMUSDT      | 0.000629      | 0.001184    | 0.06817      | 0.01529         | 0.01609      | 0.01396     | 139.8         | 0.09099                 | 0.07419        | 0.08998                  | 0.2499       | 1378.62 | 276499999.999 |
| RSRUSDT       | 0.0006776     | 0.0014      | 0.0483       | 0.01285         | 0.01769      | 0.01555     | 139.9         | 0.09556                 | 0.05062        | 0.09436                  | 0.177        | 1136.67 | 276499999.999 |
| MANAUSDT      | 0.0006871     | 0.001193    | 0.02964      | 0.01696         | 0.01066      | 0.01384     | 76.98         | 0.09569                 | 0.0391         | 0.09178                  | 0.2482       | 989.67  | 276499999.999 |
| FTMUSDT       | 0.0006782     | 0.001536    | 0.03419      | 0.01057         | 0.0148       | 0.01594     | 125.6         | 0.09984                 | 0.0223         | 0.09015                  | 0.2425       | 1161.67 | 276499999.999 |
| HBARUSDT      | 0.001372      | 0.002048    | 0.03585      | 0.026           | 0.007693     | 0.01093     | 52.38         | 0.09089                 | 0.02623        | 0.09397                  | 0.1892       | 987.67  | 276499999.999 |
| GALUSDT       | 0.0005264     | 0.0009072   | 0.02783      | 0.007526        | 0.0129       | 0.01005     | 125.1         | 0.0429                  | 0.01143        | 0.02832                  | 0.06604      | 573.38  | 276499999.999 |
| BANDUSDT      | 0.001047      | 0.002169    | 0.07081      | 0.02482         | 0.01552      | 0.01405     | 104.2         | 0.09926                 | 0.07249        | 0.09932                  | 0.185        | 1218.67 | 276499999.999 |
| AGIXUSDT      | 0.001118      | 0.001222    | 0.05815      | 0.00864         | 0.01441      | 0.00999     | 142.3         | 0.06871                 | 0.01761        | 0.06449                  | 0.0864       | 286.38  | 276499999.999 |
| FXSUSDT       | 0.001059      | 0.0006079   | 0.04761      | 0.02571         | 0.01794      | 0.01436     | 91.93         | 0.08955                 | 0.1157         | 0.08568                  | 0.1208       | 313.83  | 276499999.999 |
| AUDIOUSDT     | 0.0005256     | 0.001022    | 0.04583      | 0.0212          | 0.01279      | 0.01127     | 120.4         | 0.05476                 | 0.01045        | 0.04725                  | 0.1651       | 832.83  | 276499999.999 |
| ETCUSDT       | 0.0009139     | 0.001825    | 0.0235       | 0.01083         | 0.006673     | 0.006636    | 117.5         | 0.0466                  | 0.00861        | 0.04829                  | 0.1301       | 1413.62 | 276499999.999 |
| DEFIUSDT      | 0.000664      | 0.001667    | 0.08756      | 0.04484         | 0.01488      | 0.0142      | 122.5         | 0.08926                 | 0.05525        | 0.09208                  | 0.1964       | 1188.67 | 276499999.999 |
| SNXUSDT       | 0.0009861     | 0.00192     | 0.08879      | 0.02402         | 0.0153       | 0.01363     | 138.9         | 0.0914                  | 0.04335        | 0.08785                  | 0.2054       | 1202.67 | 276499999.999 |
| IOSTUSDT      | 0.0006742     | 0.001477    | 0.05968      | 0.01367         | 0.01429      | 0.01482     | 143.3         | 0.09253                 | 0.0233         | 0.07514                  | 0.2125       | 1377.62 | 276499999.999 |
| MTLUSDT       | 0.000972      | 0.001569    | 0.0609       | 0.02638         | 0.01577      | 0.0159      | 128.6         | 0.09852                 | 0.01451        | 0.08896                  | 0.2465       | 973.67  | 276499999.999 |
| HOTUSDT       | 0.001252      | 0.003043    | 0.06514      | 0.03483         | 0.008092     | 0.009327    | 107.0         | 0.06879                 | 0.03437        | 0.07917                  | 0.161        | 974.67  | 276499999.999 |
| 1000SHIBUSDT  | 0.001014      | 0.001933    | 0.02652      | 0.007665        | 0.008793     | 0.008385    | 88.05         | 0.05721                 | 0.005825       | 0.0457                   | 0.2129       | 933.25  | 276499999.999 |
| ZENUSDT       | 0.0008487     | 0.002013    | 0.07218      | 0.02052         | 0.01838      | 0.01476     | 136.9         | 0.0674                  | 0.0174         | 0.04961                  | 0.1201       | 1100.67 | 276499999.999 |
| SPELLUSDT     | 0.0009446     | 0.0009922   | 0.06801      | 0.04168         | 0.0117       | 0.01096     | 130.3         | 0.06125                 | 0.03534        | 0.05888                  | 0.1498       | 449.46  | 276499999.999 |
| WOOUSDT       | 0.0006439     | 0.001095    | 0.03247      | 0.01361         | 0.0143       | 0.01216     | 131.5         | 0.05724                 | 0.01397        | 0.04774                  | 0.09624      | 600.83  | 276499999.999 |
| SUSHIUSDT     | 0.001016      | 0.002318    | 0.05242      | 0.03381         | 0.01757      | 0.02142     | 91.87         | 0.09338                 | 0.1149         | 0.09979                  | 0.1807       | 1181.67 | 276499999.999 |
| CELOUSDT      | 0.0005597     | 0.0009471   | 0.04308      | 0.027           | 0.01495      | 0.01463     | 91.47         | 0.09711                 | 0.0511         | 0.09627                  | 0.1564       | 793.83  | 276499999.999 |
| BNBUSDT       | 0.000582      | 0.001778    | 0.03168      | 0.01814         | 0.006364     | 0.008013    | 129.0         | 0.03784                 | 0.05128        | 0.03677                  | 0.1105       | 1388.62 | 276499999.999 |
| APEUSDT       | 0.0008358     | 0.001351    | 0.05203      | 0.02932         | 0.01359      | 0.01373     | 129.3         | 0.08648                 | 0.02826        | 0.08229                  | 0.1607       | 622.33  | 276499999.999 |
| EDUUSDT       | 0.0009227     | 0.0008461   | 0.04305      | 0.02486         | 0.01418      | 0.01336     | 66.45         | 0.07547                 | 0.05467        | 0.0717                   | 0.1362       | 213.46  | 276499999.999 |
| ADAUSDT       | 0.0007853     | 0.001591    | 0.04735      | 0.03831         | 0.007524     | 0.01259     | 75.32         | 0.08057                 | 0.06242        | 0.08499                  | 0.2286       | 1398.62 | 276499999.999 |
| API3USDT      | 0.0006818     | 0.001004    | 0.06438      | 0.03942         | 0.01411      | 0.01224     | 125.2         | 0.09663                 | 0.05579        | 0.09345                  | 0.1372       | 645.83  | 276499999.999 |
| GRTUSDT       | 0.0009407     | 0.002071    | 0.09401      | 0.02464         | 0.01664      | 0.01489     | 142.4         | 0.09823                 | 0.03929        | 0.0921                   | 0.2221       | 1075.67 | 276499999.999 |
| AMBUSDT       | 0.001394      | 0.00151     | 0.09106      | 0.00862         | 0.01741      | 0.01462     | 77.55         | 0.09291                 | 0.01338        | 0.07629                  | 0.1626       | 244.46  | 276499999.999 |
| BELUSDT       | 0.0008742     | 0.001658    | 0.04018      | 0.01895         | 0.01282      | 0.01412     | 92.98         | 0.09348                 | 0.02058        | 0.08763                  | 0.1744       | 1106.67 | 276499999.999 |
| APTUSDT       | 0.001026      | 0.0009556   | 0.04082      | 0.01455         | 0.01396      | 0.01232     | 129.2         | 0.07225                 | 0.06551        | 0.061                    | 0.138        | 406.88  | 276499999.999 |
| DENTUSDT      | 0.0006056     | 0.0015      | 0.03271      | 0.01369         | 0.009518     | 0.009141    | 111.2         | 0.06116                 | 0.02462        | 0.05922                  | 0.1434       | 980.79  | 276499999.999 |
| BALUSDT       | 0.0006201     | 0.0007603   | 0.0354       | 0.0115          | 0.01461      | 0.0141      | 142.7         | 0.09704                 | 0.04583        | 0.0965                   | 0.2184       | 1184.67 | 276499999.999 |
| STGUSDT       | 0.0005992     | 0.0008659   | 0.0728       | 0.05785         | 0.0127       | 0.01443     | 122.0         | 0.09874                 | 0.1274         | 0.09205                  | 0.1513       | 461.46  | 276499999.999 |
| OCEANUSDT     | 0.0009343     | 0.001598    | 0.06055      | 0.02589         | 0.01461      | 0.01601     | 129.3         | 0.08769                 | 0.05676        | 0.08173                  | 0.1457       | 1121.67 | 276499999.999 |
| BLZUSDT       | 0.0007939     | 0.0009243   | 0.03889      | 0.00795         | 0.01881      | 0.01693     | 111.0         | 0.09807                 | 0.01572        | 0.07568                  | 0.2356       | 1168.67 | 276499999.999 |
| SANDUSDT      | 0.0007776     | 0.00217     | 0.05858      | 0.03844         | 0.01344      | 0.02323     | 129.7         | 0.05793                 | 0.1279         | 0.05202                  | 0.1713       | 1038.67 | 276499999.999 |
| AVAXUSDT      | 0.0008847     | 0.002019    | 0.03718      | 0.02295         | 0.01019      | 0.01192     | 114.4         | 0.0664                  | 0.01115        | 0.06168                  | 0.2438       | 1162.67 | 276499999.999 |
| SFPUSDT       | 0.0007873     | 0.002123    | 0.04496      | 0.02403         | 0.01341      | 0.01498     | 135.5         | 0.096                   | 0.01786        | 0.08817                  | 0.2164       | 1008.67 | 276499999.999 |
| ONEUSDT       | 0.0006958     | 0.001873    | 0.05877      | 0.01167         | 0.01629      | 0.01312     | 135.5         | 0.07979                 | 0.03177        | 0.06851                  | 0.1877       | 986.67  | 276499999.999 |
| ENSUSDT       | 0.0005728     | 0.00126     | 0.05329      | 0.02434         | 0.01141      | 0.01194     | 97.38         | 0.08961                 | 0.08386        | 0.09199                  | 0.137        | 729.83  | 276499999.999 |
| LINAUSDT      | 0.000811      | 0.001352    | 0.03736      | 0.01568         | 0.01792      | 0.01357     | 88.0          | 0.07981                 | 0.01659        | 0.06935                  | 0.2335       | 985.67  | 276499999.999 |
| 1000LUNCUSDT  | 0.001405      | 0.00174     | 0.0506       | 0.003481        | 0.01009      | 0.008181    | 114.4         | 0.04312                 | 0.004126       | 0.02888                  | 0.0928       | 446.42  | 276499999.999 |
| PHBUSDT       | 0.001412      | 0.001264    | 0.08485      | 0.01921         | 0.01596      | 0.01233     | 130.9         | 0.08477                 | 0.06461        | 0.08261                  | 0.1359       | 286.38  | 276499999.999 |
| BNXUSDT       | 0.0006662     | 0.0007936   | 0.05234      | 0.0001486       | 0.01671      | 0.01336     | 111.2         | 0.07056                 | 0.0            | 0.03087                  | 0.04239      | 280.38  | 276499999.999 |
| HIGHUSDT      | 0.0008261     | 0.001266    | 0.07568      | 0.01019         | 0.02108      | 0.01468     | 140.8         | 0.07065                 | 0.003403       | 0.05555                  | 0.07749      | 295.88  | 276499999.999 |
| IMXUSDT       | 0.0009589     | 0.001555    | 0.06031      | 0.02647         | 0.01046      | 0.01165     | 64.48         | 0.09222                 | 0.05303        | 0.09179                  | 0.1368       | 656.83  | 276499999.999 |
| 1INCHUSDT     | 0.001008      | 0.001391    | 0.04768      | 0.02175         | 0.01498      | 0.01431     | 139.9         | 0.08474                 | 0.07023        | 0.08759                  | 0.2303       | 1069.54 | 276499999.999 |
| XLMUSDT       | 0.0005289     | 0.001907    | 0.02425      | 0.006878        | 0.009453     | 0.009471    | 141.4         | 0.04792                 | 0.02679        | 0.03703                  | 0.1698       | 1409.62 | 276499999.999 |
| LITUSDT       | 0.000703      | 0.00157     | 0.04029      | 0.01958         | 0.01491      | 0.01411     | 118.7         | 0.07118                 | 0.01299        | 0.06233                  | 0.2205       | 1014.67 | 276499999.999 |
| MATICUSDT     | 0.001312      | 0.003458    | 0.05473      | 0.02379         | 0.009796     | 0.01071     | 91.1          | 0.07379                 | 0.02841        | 0.07051                  | 0.152        | 1133.67 | 276499999.999 |
| LDOUSDT       | 0.001172      | 0.001499    | 0.06892      | 0.01182         | 0.01701      | 0.01152     | 106.4         | 0.04968                 | 0.005064       | 0.0343                   | 0.08418      | 433.46  | 276499999.999 |
| BLUEBIRDUSDT  | 0.0006846     | 0.0007172   | 0.08128      | 0.05032         | 0.007562     | 0.01026     | 127.4         | 0.08585                 | 0.1999         | 0.09167                  | 0.1217       | 392.46  | 276499999.999 |
| RLCUSDT       | 0.001268      | 0.003249    | 0.06278      | 0.0307          | 0.01325      | 0.01468     | 111.2         | 0.09727                 | 0.02849        | 0.09005                  | 0.2097       | 1216.67 | 276499999.999 |
| VETUSDT       | 0.0005477     | 0.001697    | 0.04509      | 0.01609         | 0.01127      | 0.01203     | 130.3         | 0.07141                 | 0.009171       | 0.04621                  | 0.1351       | 1384.62 | 276499999.999 |
| OXTUSDT       | 0.001013      | 0.001082    | 0.1095       | 0.06513         | 0.01309      | 0.01153     | 77.6          | 0.08135                 | 0.1226         | 0.07716                  | 0.09576      | 110.46  | 276499999.999 |
| SXPUSDT       | 0.0007532     | 0.002452    | 0.0339       | 0.01748         | 0.01082      | 0.01169     | 80.72         | 0.06165                 | 0.02415        | 0.0566                   | 0.1548       | 1226.58 | 276499999.999 |
| IDUSDT        | 0.0009147     | 0.0006121   | 0.02921      | 1.657e-05       | 0.01759      | 0.01298     | 110.0         | 0.05766                 | 0.0            | 0.01935                  | 0.04199      | 251.38  | 276499999.999 |
| AGLDUSDT      | 0.001363      | 0.001493    | 0.0282       | 0.0124          | 0.01131      | 0.009865    | 58.75         | 0.06341                 | 0.01572        | 0.05895                  | 0.09178      | 123.88  | 276499999.999 |
