### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| PHBUSDT       | 0.001256      | 0.001563    | 0.1227       | 0.06755         | 119.0         | 0.0193       | 0.02401     | 0.1387                  | 0.0954         | 205.38  | 1297211.49874 |
| RDNTUSDT      | 0.001259      | 0.001206    | 0.04789      | 0.02487         | 85.82         | 0.01388      | 0.01472     | 0.08978                 | 0.007744       | 157.46  | 1297211.49874 |
| MANAUSDT      | 0.001252      | 0.002595    | 0.06458      | 0.04026         | 143.2         | 0.01028      | 0.01783     | 0.1154                  | 0.008115       | 908.67  | 1297211.49875 |
| COMPUSDT      | 0.001253      | 0.001966    | 0.101        | 0.05888         | 81.88         | 0.01391      | 0.01825     | 0.1174                  | 0.03462        | 1167.58 | 1297211.49875 |
| ANKRUSDT      | 0.001239      | 0.00226     | 0.06744      | 0.04625         | 121.5         | 0.0105       | 0.01993     | 0.1262                  | 0.01973        | 956.67  | 1297211.49876 |
| ALGOUSDT      | 0.001243      | 0.002501    | 0.09262      | 0.05272         | 137.1         | 0.01557      | 0.0199      | 0.1468                  | 0.04748        | 1181.58 | 1297211.49876 |
| INJUSDT       | 0.001232      | 0.00172     | 0.1239       | 0.07382         | 115.3         | 0.01606      | 0.02111     | 0.1198                  | 0.05589        | 388.88  | 1297211.49877 |
| RVNUSDT       | 0.001231      | 0.002522    | 0.09826      | 0.02486         | 126.3         | 0.01149      | 0.01617     | 0.1104                  | 0.07011        | 928.67  | 1297211.49877 |
| XRPUSDT       | 0.001234      | 0.00247     | 0.09773      | 0.02298         | 98.75         | 0.01119      | 0.01931     | 0.1391                  | 0.06801        | 1343.62 | 1297211.49877 |
| HIGHUSDT      | 0.001189      | 0.001955    | 0.09893      | 0.03296         | 66.82         | 0.0179       | 0.01633     | 0.09751                 | 0.01157        | 214.88  | 1297211.49881 |
| SNXUSDT       | 0.001184      | 0.002153    | 0.0919       | 0.04465         | 88.57         | 0.01477      | 0.02083     | 0.1248                  | 0.02173        | 1122.67 | 1297211.49882 |
| SUSHIUSDT     | 0.001179      | 0.002895    | 0.06122      | 0.03759         | 127.9         | 0.01574      | 0.0213      | 0.1402                  | 0.02167        | 1101.67 | 1297211.49882 |
| LRCUSDT       | 0.001168      | 0.002741    | 0.1091       | 0.05816         | 97.2          | 0.01306      | 0.0189      | 0.1434                  | 0.05753        | 1056.67 | 1297211.49883 |
