### single symbol backtest metrics ###

update: 2023-12-07

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
| GALUSDT       | 0.0006763     | 0.001307    | 0.04271      | 0.001199        | 0.01164      | 0.009931    | 122.8         | 0.05412                 | 0.0            | 0.03545                  | 0.06278      | 580.38  | 276499999.999 |
| BANDUSDT      | 0.000842      | 0.001788    | 0.05013      | 0.01642         | 0.01733      | 0.01427     | 135.8         | 0.08944                 | 0.0            | 0.0797                   | 0.1913       | 1225.67 | 276499999.999 |
| AGIXUSDT      | 0.0007568     | 0.0007377   | 0.04954      | 0.01212         | 0.01751      | 0.01163     | 122.7         | 0.07153                 | 0.0            | 0.06633                  | 0.09038      | 293.38  | 276499999.999 |
| FXSUSDT       | 0.001016      | 0.0005262   | 0.01705      | 0.0003894       | 0.01681      | 0.01249     | 91.3          | 0.05145                 | 0.0            | 0.008058                 | 0.06779      | 320.83  | 276499999.999 |
| ETCUSDT       | 0.0006652     | 0.001388    | 0.01807      | 0.006437        | 0.005837     | 0.005345    | 70.58         | 0.02867                 | 0.0            | 0.02218                  | 0.1287       | 1420.62 | 276499999.999 |
| DEFIUSDT      | 0.0005251     | 0.001219    | 0.05484      | 0.0122          | 0.01227      | 0.01071     | 134.9         | 0.05734                 | 0.0            | 0.049                    | 0.1407       | 1195.67 | 276499999.999 |
| ENJUSDT       | 0.000856      | 0.001549    | 0.0526       | 0.01545         | 0.01497      | 0.01614     | 122.6         | 0.09579                 | 0.0            | 0.0777                   | 0.2344       | 1163.67 | 276499999.999 |
| SNXUSDT       | 0.001189      | 0.001681    | 0.06449      | 0.02719         | 0.01723      | 0.01761     | 136.7         | 0.09669                 | 0.0            | 0.07986                  | 0.246        | 1209.67 | 276499999.999 |
| MTLUSDT       | 0.0008139     | 0.0009227   | 0.0309       | 0.003781        | 0.01562      | 0.01526     | 128.6         | 0.08703                 | 0.0            | 0.0421                   | 0.1911       | 980.67  | 276499999.999 |
| FETUSDT       | 0.001252      | 0.001118    | 0.04634      | 0.01111         | 0.01447      | 0.01008     | 103.2         | 0.04909                 | 0.0            | 0.04255                  | 0.07655      | 323.88  | 276499999.999 |
| HOTUSDT       | 0.0009066     | 0.002061    | 0.03985      | 0.01144         | 0.009981     | 0.0095      | 142.1         | 0.04634                 | 0.0            | 0.03917                  | 0.1383       | 981.67  | 276499999.999 |
| 1000SHIBUSDT  | 0.0006845     | 0.002444    | 0.02334      | 0.002275        | 0.009453     | 0.008143    | 125.1         | 0.04314                 | 0.0            | 0.02253                  | 0.2133       | 939.25  | 276499999.999 |
| ZENUSDT       | 0.0006122     | 0.001486    | 0.05193      | 0.005891        | 0.01633      | 0.016       | 144.0         | 0.09985                 | 0.0            | 0.06984                  | 0.2243       | 1107.67 | 276499999.999 |
| SPELLUSDT     | 0.000769      | 0.0007497   | 0.04117      | 0.00667         | 0.01139      | 0.008695    | 128.0         | 0.0387                  | 0.0            | 0.01889                  | 0.07174      | 456.46  | 276499999.999 |
| OGNUSDT       | 0.0006942     | 0.001901    | 0.04022      | 0.01376         | 0.01474      | 0.01416     | 136.2         | 0.07742                 | 0.0            | 0.04248                  | 0.09822      | 979.67  | 276499999.999 |
| WOOUSDT       | 0.0005366     | 0.0007001   | 0.03492      | 0.006662        | 0.0175       | 0.01592     | 103.5         | 0.09515                 | 0.0            | 0.06749                  | 0.2467       | 607.83  | 276499999.999 |
| CYBERUSDT     | 0.001074      | 0.001442    | 0.04668      | 0.0004264       | 0.01488      | 0.0131      | 102.2         | 0.07854                 | 0.0            | 0.03526                  | 0.1134       | 107.46  | 276499999.999 |
| SUSHIUSDT     | 0.0007677     | 0.001599    | 0.035        | 0.009891        | 0.0155       | 0.01293     | 143.5         | 0.07245                 | 0.0            | 0.06372                  | 0.2127       | 1188.67 | 276499999.999 |
| CELOUSDT      | 0.00051       | 0.0008026   | 0.04252      | 0.007022        | 0.01282      | 0.0115      | 97.07         | 0.06758                 | 0.0            | 0.0486                   | 0.138        | 800.83  | 276499999.999 |
| EDUUSDT       | 0.0007536     | 0.0008467   | 0.04623      | 0.01071         | 0.01516      | 0.0118      | 110.2         | 0.05979                 | 0.0            | 0.03983                  | 0.08872      | 220.46  | 276499999.999 |
| API3USDT      | 0.0005634     | 0.0007027   | 0.02649      | 0.002865        | 0.01214      | 0.009659    | 94.95         | 0.04625                 | 0.0            | 0.01973                  | 0.05036      | 652.83  | 276499999.999 |
| GRTUSDT       | 0.0008264     | 0.001858    | 0.07637      | 0.01367         | 0.016        | 0.01483     | 110.1         | 0.09672                 | 0.0            | 0.08147                  | 0.2165       | 1082.67 | 276499999.999 |
| AMBUSDT       | 0.001139      | 0.001295    | 0.08686      | 0.008014        | 0.01744      | 0.01452     | 76.85         | 0.08974                 | 0.0            | 0.0696                   | 0.1512       | 251.46  | 276499999.999 |
| BELUSDT       | 0.0007561     | 0.001623    | 0.02491      | 0.0106          | 0.0142       | 0.01351     | 137.3         | 0.08168                 | 0.0            | 0.07046                  | 0.1707       | 1113.67 | 276499999.999 |
| CELRUSDT      | 0.000917      | 0.002285    | 0.06773      | 0.02111         | 0.01345      | 0.01256     | 134.2         | 0.07843                 | 0.0            | 0.06461                  | 0.2458       | 982.67  | 276499999.999 |
| APTUSDT       | 0.0006109     | 0.0008067   | 0.02379      | 0.005294        | 0.008244     | 0.01022     | 59.65         | 0.06861                 | 0.0            | 0.04666                  | 0.1219       | 413.88  | 276499999.999 |
| DENTUSDT      | 0.0005348     | 0.0009366   | 0.02312      | 0.004353        | 0.01506      | 0.01061     | 124.5         | 0.0517                  | 0.0            | 0.02721                  | 0.1906       | 987.79  | 276499999.999 |
| BALUSDT       | 0.0005788     | 0.0006608   | 0.02862      | 0.004482        | 0.01588      | 0.01206     | 142.3         | 0.04761                 | 0.0            | 0.0252                   | 0.1964       | 1191.67 | 276499999.999 |
| GLMRUSDT      | 0.001211      | 0.001483    | 0.0659       | 0.007631        | 0.008101     | 0.006808    | 67.53         | 0.0434                  | 0.0            | 0.02043                  | 0.02376      | 71.92   | 276499999.999 |
| ATAUSDT       | 0.0005254     | 0.0007861   | 0.03615      | 0.008787        | 0.01565      | 0.01226     | 105.8         | 0.05246                 | 0.0            | 0.03478                  | 0.08933      | 827.83  | 276499999.999 |
| STGUSDT       | 0.0005016     | 0.0007391   | 0.03378      | 0.01706         | 0.00761      | 0.009259    | 71.92         | 0.06863                 | 0.0            | 0.06247                  | 0.1439       | 468.46  | 276499999.999 |
